ECP,0,13518.601899592706,13509.663385977998,13462.561797881728,13529.281738799025,13525.78875368107,13539.898901476876,13577.298781661224,13543.956812061073,13579.308715588062,13596.319658817234,13637.093671484063,13623.997357381033,13647.158644468993,13608.726180099738,13594.142966859672,13630.365759605216,13695.9358897216,13731.779751492859,13730.445851479459,13715.12695116112,13716.771049877965,13707.455140561584,13732.798413352226,
,MGCP,0,36952.24745554466,36975.718524455646,37099.91111766814,37276.42222739389,37267.18307916201,37304.50523847754,37205.84612518064,37293.77431037501,37200.55885181361,37245.29632289234,37138.37699000356,37104.13664785561,37043.680078823025,37144.11069224404,37105.897302435,37011.22242306497,36841.08409139422,36748.75534331146,36745.32835989512,36705.97011732509,36701.746485802214,36677.81646230488,36742.9163997112,
,BLD,0,23917.745428346374,23892.45236164332,23759.448521872164,23572.529237815448,23562.79323053743,23602.122485313725,23498.27148383379,23590.826847303037,23492.71522879983,23539.80254417664,23652.75219304589,23689.130811038318,23753.56661444445,23860.89870010429,23820.013758303638,23718.892031125466,23901.455095286987,24001.539728797616,24005.270492329946,23962.447312572665,23967.043304022907,23993.105011286585,24064.08113914229,
,CLRK,0,21001.06489500631,20981.907130750784,20881.08866958788,20739.24823948143,20746.63929103138,20716.814937730043,20795.783978408428,20725.37514030398,20650.989826021647,20686.69002959031,20601.431356585366,20628.760185000247,20580.477360347246,20500.58118001811,20470.276884205836,20395.280750899696,20530.677210975093,20456.795021125818,20454.052833940546,20422.57409506122,20419.196202850235,20438.34696875829,20386.332513449728,
,OMTK,0,36608.3414348793,36576.88056008267,36743.243986613874,36508.03185578079,36520.288339935956,36470.82790433857,36601.78944141524,36718.9257035978,36843.52068852214,36903.52123549392,37047.39223029876,37093.688449712536,37011.89043574992,36876.50440478007,36927.93179576547,36800.456316293385,37030.597897013016,36905.03767217504,36909.6985491787,36856.182817933426,36861.92638589477,36829.38723135885,36917.907701210395,
,FSIG,0,13576.36442532275,13558.422875780525,13464.208179169445,13332.061803290044,13338.947714983424,13311.175190556927,13238.043001647766,13173.184566928514,13104.77343822224,13137.606413988211,13216.403168371431,13191.04291076505,13146.344391143639,13220.597690932625,13192.293438313618,13262.597496792245,13390.199390810838,13320.476907173004,13323.065050998362,13352.827036604145,13356.02837274566,13337.898872398271,13288.760548736782,
,KGI,0,47491.960375216964,47440.48331572401,47169.82835946254,46789.53345530762,46809.349943728324,46889.43388168226,47101.84323007028,47292.00685248015,47494.448020800075,47397.07332652246,47165.106035823206,47090.86823846617,47222.16036568891,47440.871280549545,47524.33503136777,47317.56085699762,47690.866653050434,47895.55925289592,47887.92953385531,47975.6493407089,47966.21943399562,47912.81664124043,48058.095164099905,
,FLCM,0,10016.972549000066,10000.430873430285,10087.902370842397,10212.89051579338,10206.30116660023,10179.752288023808,10109.938163352006,10048.098150913993,9982.955357047746,9951.788580792365,10026.399645373305,10050.494790805637,10093.210300270224,10022.449191488453,10049.328325043161,10116.271628868453,10237.934770323434,10171.385514518615,10173.85586606817,10202.264696044811,10199.208124813178,10216.537179881268,10169.531879130134,
,STM,0,18342.558091069397,18362.94681112181,18255.643218804584,18407.63999065411,18399.65722924329,18367.466745256133,18452.70083612658,18376.699280583565,18457.282392249697,18496.126734504956,18589.31305444082,18619.33350146835,18672.51144660932,18761.103093166337,18794.914951826722,18879.05054182737,18727.69713720589,18645.71647214475,18648.759647617084,18683.75311614867,18687.51583232215,18708.852631733567,18766.964160507716,
,DCOMM,0,20490.268770096613,20508.43535242547,20604.584439889048,20468.652350837165,20475.73552928439,20504.35840549088,20580.252113508282,20648.141389943816,20720.360645426354,20755.14250857219,20838.54760809975,20811.74002120391,20859.150171215995,20780.51048573383,20810.38235525603,20736.342246416963,20870.01271979304,20943.202525041506,20945.92890592509,20914.62614369255,20911.26711892153,20930.310916962208,20878.584580951425,
